id_sujet,serie,trial,item,correct,key_press,correct_response,rt,time_elapsed,test_part
3,3,2,2,,4,3,277.0,571368,trial_3_2_2
3,3,2,3,1.0,6,6,254.0,571623,trial_3_2_3
3,3,2,4,1.0,8,8,173.0,571797,trial_3_2_4
3,3,3,1,1.0,3,3,1397.0,579802,trial_3_3_1
3,3,3,2,1.0,5,5,310.0,580113,trial_3_3_2
3,3,3,3,1.0,6,6,364.0,580479,trial_3_3_3
3,3,3,4,1.0,2,2,310.0,580789,trial_3_3_4
3,3,3,5,1.0,8,8,351.0,581141,trial_3_3_5
3,3,4,1,1.0,8,8,1160.0,589886,trial_3_4_1
3,3,4,2,1.0,6,6,156.0,590042,trial_3_4_2
3,3,4,3,1.0,3,3,582.0,590626,trial_3_4_3
3,3,4,4,1.0,5,5,291.0,590918,trial_3_4_4
3,3,4,5,1.0,4,4,270.0,591189,trial_3_4_5
3,3,4,6,1.0,1,1,259.0,591449,trial_3_4_6
3,3,5,1,1.0,9,9,1314.0,601388,trial_3_5_1
3,3,5,2,1.0,8,8,266.0,601655,trial_3_5_2
3,3,5,3,1.0,7,7,302.0,601959,trial_3_5_3
3,3,5,4,1.0,2,2,434.0,602394,trial_3_5_4
3,3,5,5,1.0,6,6,419.0,602813,trial_3_5_5
3,3,5,6,1.0,1,1,361.0,603175,trial_3_5_6
3,3,5,7,1.0,5,5,306.0,603483,trial_3_5_7
3,3,6,1,1.0,4,4,1107.0,613240,trial_3_6_1
3,3,6,2,1.0,1,1,110.0,613353,trial_3_6_2
3,3,6,3,1.0,7,7,734.0,614089,trial_3_6_3
3,3,6,4,1.0,6,6,535.0,614626,trial_3_6_4
3,3,6,5,1.0,2,2,528.0,615154,trial_3_6_5
3,3,6,6,1.0,9,9,616.0,615771,trial_3_6_6
3,3,6,7,1.0,3,3,334.0,616105,trial_3_6_7
3,3,7,1,1.0,2,2,980.0,624684,trial_3_7_1
3,3,7,2,1.0,1,1,248.0,624933,trial_3_7_2
3,3,7,3,1.0,6,6,283.0,625216,trial_3_7_3
3,3,7,4,1.0,3,3,349.0,625566,trial_3_7_4
3,3,7,5,1.0,7,7,407.0,625973,trial_3_7_5
3,3,7,6,1.0,8,8,214.0,626189,trial_3_7_6
3,3,8,1,,3,5,3760.0,638584,trial_3_8_1
3,3,8,2,,5,3,294.0,638879,trial_3_8_2
3,3,8,3,1.0,1,1,302.0,639181,trial_3_8_3
3,3,8,4,1.0,6,6,727.0,639910,trial_3_8_4
