id_sujet,serie,trial,item,correct,key_press,correct_response,rt,time_elapsed,test_part
1,2,9,5,,3,1,4.8,243025,trial_2_9_5
1,2,9,6,,7,9,210.89,243237,trial_2_9_6
1,2,9,7,,3,5,227.12,243465,trial_2_9_7
1,2,10,1,,8,3,4410.42,257386,trial_2_10_1
1,2,10,2,,6,1,103.945,257491,trial_2_10_2
1,2,10,3,,5,4,146.765,257639,trial_2_10_3
1,2,10,4,,3,6,107.0,257747,trial_2_10_4
1,2,10,5,,7,5,214.695,257963,trial_2_10_5
1,2,10,6,,6,7,160.99,258125,trial_2_10_6
1,2,10,7,,5,2,18.825,258145,trial_2_10_7
1,2,10,8,,4,9,182.765,258329,trial_2_10_8
1,2,11,1,,7,5,3494.53,271333,trial_2_11_1
1,2,11,2,,9,1,0.16,271334,trial_2_11_2
1,2,11,3,,6,3,135.05,271470,trial_2_11_3
1,2,11,4,,5,6,75.52,271547,trial_2_11_4
1,2,11,5,,8,7,195.96,271744,trial_2_11_5
1,2,11,6,,4,2,195.185,271940,trial_2_11_6
1,2,11,7,,6,8,129.91,272071,trial_2_11_7
1,2,11,8,,7,4,0.14,272072,trial_2_11_8
1,2,12,1,,9,4,437.825,283025,trial_2_12_1
1,2,12,2,,7,2,115.27,283141,trial_2_12_2
1,2,12,3,,6,8,86.815,283229,trial_2_12_3
1,2,12,4,,4,3,23.98,283254,trial_2_12_4
1,2,12,5,,8,6,179.845,283435,trial_2_12_5
1,2,12,6,,5,1,258.95,283695,trial_2_12_6
1,2,12,7,,6,7,10.105,283707,trial_2_12_7
1,2,12,8,,7,9,0.13,283708,trial_2_12_8
1,2,12,9,,4,5,94.94,283803,trial_2_12_9
1,2,13,1,,7,4,3053.97,297372,trial_2_13_1
1,2,13,2,,9,6,35.97,297409,trial_2_13_2
1,2,13,3,,6,5,206.965,297617,trial_2_13_3
1,2,13,4,,5,3,135.005,297753,trial_2_13_4
1,2,13,5,,8,1,92.685,297847,trial_2_13_5
1,2,13,6,,3,9,273.175,298121,trial_2_13_6
1,2,13,7,,4,7,69.655,298192,trial_2_13_7
1,2,13,8,,4,2,79.955,298273,trial_2_13_8
1,2,13,9,1,8,8,233.185,298507,trial_2_13_9
1,2,14,1,,8,1,1111.17,309128,trial_2_14_1
1,2,14,2,,7,4,140.155,309269,trial_2_14_2
1,2,14,3,,6,8,60.815,309331,trial_2_14_3
1,2,14,4,,5,6,118.86,309451,trial_2_14_4
1,2,14,5,,8,5,120.96,309573,trial_2_14_5
1,2,14,6,,4,3,260.745,309835,trial_2_14_6
1,2,14,7,,3,9,0.825,309837,trial_2_14_7
1,2,14,8,,5,2,147.17,309985,trial_2_14_8
1,3,1,1,,8,3,2575.93,323695,trial_3_1_1
1,3,1,2,1,8,8,155.54,323852,trial_3_1_2
1,3,1,3,,7,4,202.96,324057,trial_3_1_3
1,3,2,1,,8,7,779.89,330345,trial_3_2_1
1,3,2,2,,7,1,224.96,330571,trial_3_2_2
1,3,2,3,,6,3,26.87,330599,trial_3_2_3
1,3,2,4,,4,8,166.96,330767,trial_3_2_4
1,3,3,1,,7,2,1954.0,339231,trial_3_3_1
1,3,3,2,,5,4,148.28,339380,trial_3_3_2
1,3,3,3,1,6,6,4.83,339386,trial_3_3_3
1,3,3,4,,2,9,79.08,339466,trial_3_3_4
1,3,3,5,1,3,3,0.145,339467,trial_3_3_5
1,3,4,1,,7,8,4173.12,351149,trial_3_4_1
1,3,4,2,,6,5,292.105,351442,trial_3_4_2
1,3,4,3,,5,4,8.895,351452,trial_3_4_3
1,3,4,4,,3,7,14.665,351468,trial_3_4_4
1,3,4,5,,6,2,112.99,351582,trial_3_4_5
1,3,4,6,,7,9,134.785,351718,trial_3_4_6
1,3,5,1,,7,9,459.605,360686,trial_3_5_1
1,3,5,2,,6,3,188.81,360876,trial_3_5_2
1,3,5,3,,3,8,24.86,360902,trial_3_5_3
1,3,5,4,,5,6,12.06,360915,trial_3_5_4
1,3,5,5,,7,1,223.915,361140,trial_3_5_5
1,3,5,6,,6,2,131.555,361273,trial_3_5_6
1,3,5,7,,3,5,194.255,361468,trial_3_5_7
1,3,6,1,,7,8,6246.29,376223,trial_3_6_1
1,3,6,2,,6,1,49.91,376274,trial_3_6_2
1,3,6,3,,3,2,154.93,376430,trial_3_6_3
1,3,6,4,,5,3,12.93,376444,trial_3_6_4
1,3,6,5,1,6,6,242.895,376688,trial_3_6_5
1,3,6,6,,7,9,9.785,376699,trial_3_6_6
1,3,6,7,,5,4,298.005,376998,trial_3_6_7
1,3,7,1,,7,1,442.52,384951,trial_3_7_1
1,3,7,2,,3,2,202.095,385155,trial_3_7_2
1,3,7,3,,5,4,5.705,385162,trial_3_7_3
1,3,7,4,,6,3,306.185,385469,trial_3_7_4
1,3,7,5,,7,5,127.77,385598,trial_3_7_5
1,3,7,6,,5,8,218.95,385818,trial_3_7_6
1,3,8,1,,7,8,407.935,394738,trial_3_8_1
1,3,8,2,1,3,3,170.31,394909,trial_3_8_2
1,3,8,3,,5,1,6.91,394917,trial_3_8_3
1,3,8,4,,6,4,0.12,394918,trial_3_8_4
1,3,8,5,,6,5,276.15,395195,trial_3_8_5
1,3,8,6,,7,2,36.855,395233,trial_3_8_6
1,3,8,7,,6,9,283.015,395517,trial_3_8_7
1,3,9,1,,7,5,247.97,404274,trial_3_9_1
1,3,9,2,,5,9,176.995,404452,trial_3_9_2
1,3,9,3,,3,8,14.95,404468,trial_3_9_3
1,3,9,4,,6,2,0.78,404470,trial_3_9_4
1,3,9,5,,7,4,254.935,404726,trial_3_9_5
1,3,9,6,,5,6,207.575,404934,trial_3_9_6
1,3,9,7,,3,1,117.905,405054,trial_3_9_7
1,3,10,1,,7,8,1905.78,416474,trial_3_10_1
1,3,10,2,,6,4,168.125,416643,trial_3_10_2
1,3,10,3,,5,7,5.825,416650,trial_3_10_3
1,3,10,4,,3,1,42.035,416693,trial_3_10_4
1,3,10,5,,7,6,235.09,416929,trial_3_10_5
1,3,10,6,1,3,3,156.695,417087,trial_3_10_6
1,3,10,7,,7,2,212.69,417301,trial_3_10_7
1,3,10,8,1,5,5,144.815,417447,trial_3_10_8
1,3,11,1,,8,3,488.775,427445,trial_3_11_1
1,3,11,2,1,7,7,64.435,427511,trial_3_11_2
1,3,11,3,,6,8,64.825,427577,trial_3_11_3
1,3,11,4,,4,1,110.715,427689,trial_3_11_4
1,3,11,5,,8,5,156.965,427847,trial_3_11_5
